Sample,SiO2,Al2O3,Fe2O3,MgO,Na2O,CaO,K2O,TiO2,MnO,P2O5,LOI,Stratigraphic Unit,Stratigraphic Age,Reference,interpreted_age,Age Reference,Notes,,In CMIBS,Age in SGP?
MEE6,55.23,18.53,5.75,8.49,0.01,0.09,4.17,1,0.04,0.06,6.18,Black Reef Fm,Neoarchean,Wronkiewicz (1989) [thesis],2600,Wronkiewicz (1989) [thesis],,,N,N
MEE18,15.5,5.31,5.89,13.82,0.05,21.33,1.53,0.2,1.81,0.13,33.94,Black Reef Fm,Neoarchean,Wronkiewicz (1989) [thesis],2600,Wronkiewicz (1989) [thesis],,,N,N
MEE29,55.76,17.93,11.04,4.92,0.25,1.01,1.07,1.13,0.13,0.11,6.1,Black Reef Fm,Neoarchean,Wronkiewicz (1989) [thesis],2600,Wronkiewicz (1989) [thesis],,,N,N
MEE9,85.95,4.87,2.58,1.06,0.01,1.21,1.02,0.03,0.04,0.09,2.73,Black Reef Fm,Neoarchean,Wronkiewicz (1989) [thesis],2600,Wronkiewicz (1989) [thesis],,,N,N
MEE8,36.9,17.2,31.13,4.33,0.03,0.08,0.65,1.16,0.18,0.07,5.48,Black Reef Fm,Neoarchean,Wronkiewicz (1989) [thesis],2600,Wronkiewicz (1989) [thesis],,,N,N
D111,42.35,14.91,30.35,2.96,0.2,0.13,0.02,0.66,0.05,0.13,7.27,Selati Fm,Neoarchean,Wronkiewicz (1989) [thesis],2600,Wronkiewicz (1989) [thesis],,,N,N
MSF14,62.41,18.46,5.18,2.06,0.5,0.28,8.85,0.66,0.03,0.19,2.7,Timeball Hill Shale,Paleoproterozoic,Wronkiewicz (1989) [thesis],2322,Wronkiewicz (1989) [thesis],,,N,N
MSF13,61.54,19.83,7.58,1.73,0.55,0.43,6.7,0.69,0.05,0.18,3.99,Timeball Hill Shale,Paleoproterozoic,Wronkiewicz (1989) [thesis],2322,Wronkiewicz (1989) [thesis],,,N,N
D67,54.72,26.27,6.02,0.87,0.67,1.15,5.38,0.83,0.06,1.06,3.95,Timeball Hill Shale,Paleoproterozoic,Wronkiewicz (1989) [thesis],2322,Wronkiewicz (1989) [thesis],,,N,N
D66,59.66,23.22,6.99,0.71,0.51,0.05,4.71,0.76,0.02,0.19,4.01,Timeball Hill Shale,Paleoproterozoic,Wronkiewicz (1989) [thesis],2322,Wronkiewicz (1989) [thesis],,,N,N
